Image Name,Discharge,Stage
2016-12-07: 235519,380,13.963
2016-12-19: 234604,338,13.910
2017-02-05: 219091,285,13.843
2017-03-01: 219663,265,13.818
2017-03-13: 221984,279,13.835
2017-04-06: 254081,296,13.857
2017-04-18: 279187,285,13.843
2017-04-30: 256127,241,13.787
2017-05-12: 315361,187,13.719
2017-05-24: 314526,180,13.710
2017-06-05: 277618,264,13.816
2017-06-29: 198279,1402,15.260
2017-12-14: 235127,276,13.832
2017-12-26: 230517,255,13.805
2018-02-24: 220947,261,13.813
2018-03-08: 220717,245,13.792
2018-03-20: 221660,208,13.745
2018-04-01: 232376,215,13.754
2018-04-13: 259248,163,13.688
2018-04-25: 189178,145,13.665
2018-05-07: 272052,125,13.640
2018-05-19: 231975,167,13.693
2018-05-31: 238325,236,13.781
2018-06-12: 178716,249,13.797
2018-06-24: 209553,680,14.344
2019-02-19: 219076,212,13.750
2019-03-03: 220669,230,13.773
2022-03-11: 227192,279,13.835
2022-03-23: 218340,307,13.871
2022-04-04: 242074,351,13.927
2022-04-16: 247364,270,13.824
2022-04-28: 256478,235,13.780
2022-05-10: 253901,310,13.875
2022-05-22: 257423,256,13.806
2023-02-10: 203282,228,13.771
2023-02-22: 195453,263,13.815
2023-03-06: 199173,233,13.777
2023-03-18: 205758,187,13.719
2023-03-30: 206679,255,13.805
2023-04-11: 203798,164,13.689
2023-04-23: 226751,138,13.656
2023-05-05: 186248,170,13.697
2023-05-17: 235071,306,13.870
2023-05-29: 182933,311,13.876
2017-12-02: 243260,360,13.599
2017-12-14: 235127,276,13.579
2017-12-26: 230517,255,13.574
