Image Name,Discharge
2017-07-11: 195705,1083
2017-07-23: 270670,10231
2017-08-04: 265025,1990
2017-08-16: 249548,4034
2017-08-28: 219897,4845
2017-09-09: 215978,3024
2017-09-21: 226136,3723
2017-10-03: 219571,2031
2017-10-15: 230474,3092
2017-10-27: 237506,1502
2017-11-08: 231106,560
2017-11-20: 205389,430
2017-12-02: 243260,360
2017-12-14: 235127,276
2017-12-26: 230517,255
2018-01-31: 225640,183
2016-07-04: 213011,8638
2016-07-16: 258414,11486
2016-07-28: 261882,7315
2016-08-09: 269771,16810
2016-08-21: 258489,3231
2016-09-02: 233125,6012
2016-09-14: 247295,11373
2016-09-26: 227789,5664
2016-10-20: 261001,2548
2016-11-01: 223641,1259
2016-11-13: 248855,730
2017-01-12: 229997,310
2017-01-24: 227790,267
2018-07-06: 191250,955
2018-07-18: 292757,13968
2018-08-23: 289362,29381
2018-09-04: 233196,8222
2018-09-16: 228151,2389
2018-09-28: 235355,4418
2018-10-10: 270160,1228
2018-10-22: 266400,745
2018-11-03: 236585,608
2018-11-15: 243427,419
2018-11-27: 237187,383
2019-01-02: 247141,370
2019-01-14: 259274,264
2019-01-26: 250551,219
2022-07-09: 270991,5871
2022-07-16: 354357,56396
2022-07-21: 360897,33700
2022-08-02: 317982,11800
2022-08-14: 285441,33100
2022-08-26: 221811,7780
2022-09-07: 232855,5130
2022-09-19: 241680,15300
2022-10-01: 259579,8900
2022-10-13: 276048,5590
2022-10-25: 285167,6630
2022-11-06: 217657,1350
2022-11-18: 236101,850
2022-11-30: 236806,531
2023-01-05: 237675,206
2023-01-17: 250742,293
2023-01-29: 243229,250
