Image Name,Discharge,Stage
2017-07-11: 195705,1083,13.770
2017-07-23: 270670,10231,15.934
2017-08-04: 265025,1990,13.985
2017-08-16: 249548,4034,14.468
2017-08-28: 219897,4845,14.660
2017-09-09: 215978,3024,14.229
2017-09-21: 226136,3723,14.395
2017-10-03: 219571,2031,13.994
2017-10-15: 230474,3092,14.245
2017-10-27: 237506,1502,13.869
2017-11-08: 231106,560,13.646
2017-11-20: 205389,430,13.615
2018-01-31: 225640,183,13.557
2016-07-04: 213011,8638,15.557
2016-07-16: 258414,11486,16.231
2016-07-28: 261882,7315,15.244
2016-08-09: 269771,16810,17.491
2016-08-21: 258489,3231,14.278
2016-09-02: 233125,6012,14.936
2016-09-14: 247295,11373,16.205
2016-09-26: 227789,5664,14.854
2016-10-20: 261001,2548,14.117
2016-11-01: 223641,1259,13.812
2016-11-13: 248855,730,13.686
2017-01-12: 229997,310,13.587
2017-01-24: 227790,267,13.577
2018-07-06: 191250,955,13.740
2018-07-18: 292757,13968,16.819
2018-08-23: 289362,29381,20.465
2018-09-04: 233196,8222,15.459
2018-09-16: 228151,2389,14.079
2018-09-28: 235355,4418,14.559
2018-10-10: 270160,1228,13.804
2018-10-22: 266400,745,13.690
2018-11-03: 236585,608,13.658
2018-11-15: 243427,419,13.613
2018-11-27: 237187,383,13.604
2019-01-02: 247141,370,13.601
2019-01-14: 259274,264,13.576
2019-01-26: 250551,219,13.566
2022-07-09: 270991,5871,14.903
2022-07-16: 354357,56396,26.857
2022-07-21: 360897,33700,21.487
2022-08-02: 317982,11800,16.306
2022-08-14: 285441,33100,21.345
2022-08-26: 221811,7780,15.354
2022-09-07: 232855,5130,14.727
2022-09-19: 241680,15300,17.134
2022-10-01: 259579,8900,15.619
2022-10-13: 276048,5590,14.836
2022-10-25: 285167,6630,15.082
2022-11-06: 217657,1350,13.833
2022-11-18: 236101,850,13.715
2022-11-30: 236806,531,13.639
2023-01-05: 237675,206,13.562
2023-01-17: 250742,293,13.583
2023-01-29: 243229,250,13.573
